<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131118,170000,8705.2000000,8707.9000000,8700.0000000,8702.3000000,3365
20131118,180000,8702.3000000,8746.4000000,8699.9000000,8736.0000000,7086
20131118,190000,8736.2000000,8830.0000000,8705.0000000,8830.0000000,21057
20131119,110000,8810.0000000,8989.0000000,8782.1000000,8857.2000000,7400
20131119,120000,8853.1000000,8870.0000000,8838.0000000,8863.3000000,4086
20131119,130000,8863.1000000,8863.1000000,8742.0000000,8770.6000000,17415
20131119,140000,8771.9000000,8812.3000000,8764.7000000,8777.0000000,7847
20131119,150000,8774.1000000,8803.9000000,8764.8000000,8776.0000000,4065
20131119,160000,8777.7000000,8815.0000000,8772.7000000,8790.0000000,5243
20131119,170000,8789.9000000,8806.7000000,8746.3000000,8757.5000000,9378
20131119,180000,8757.9000000,8770.0000000,8751.1000000,8767.0000000,5010
20131119,190000,8762.7000000,8792.6000000,8741.0000000,8792.6000000,5011
20131120,110000,8771.2000000,8796.1000000,8771.0000000,8777.0000000,3250
20131120,120000,8779.8000000,8785.0000000,8773.0000000,8778.5000000,2051
20131120,130000,8776.1000000,8795.0000000,8750.0000000,8791.3000000,5273
20131120,140000,8793.9000000,8795.0000000,8763.5000000,8793.6000000,8283
20131120,150000,8793.6000000,8820.8000000,8781.7000000,8802.2000000,6118
20131120,160000,8801.3000000,8803.6000000,8780.0000000,8783.5000000,4883
20131120,170000,8784.5000000,8802.5000000,8770.4000000,8788.2000000,6865
20131120,180000,8788.2000000,8805.0000000,8787.7000000,8800.5000000,3629
20131120,190000,8804.7000000,8817.0000000,8801.6000000,8809.9000000,9312
20131121,110000,8760.3000000,8837.9000000,8753.0000000,8804.2000000,5155
20131121,120000,8803.8000000,8818.5000000,8776.9000000,8777.0000000,2051
20131121,130000,8780.7000000,8817.0000000,8775.0000000,8797.9000000,7135
20131121,140000,8797.9000000,8800.2000000,8765.1000000,8780.9000000,6594
20131121,150000,8786.3000000,8786.3000000,8750.0000000,8763.3000000,5235
20131121,160000,8764.4000000,8769.6000000,8720.0000000,8721.3000000,10399
20131121,170000,8721.3000000,8790.0000000,8721.2000000,8783.7000000,9943
20131121,180000,8788.8000000,8809.8000000,8760.0000000,8775.5000000,3811
20131121,190000,8775.5000000,8791.2000000,8744.1000000,8763.0000000,7085
20131122,110000,8799.1000000,8818.6000000,8766.1000000,8779.4000000,2694
20131122,120000,8783.1000000,8799.6000000,8766.1000000,8770.9000000,1506
20131122,130000,8770.3000000,8799.8000000,8750.0000000,8776.3000000,8073
20131122,140000,8775.7000000,8783.1000000,8739.1000000,8739.9000000,3899
20131122,150000,8733.6000000,8771.5000000,8733.2000000,8735.0000000,3766
20131122,160000,8735.1000000,8736.9000000,8724.6000000,8735.0000000,2937
20131122,170000,8735.0000000,8794.0000000,8730.1000000,8790.0000000,17340
20131122,180000,8790.0000000,8840.0000000,8785.0000000,8817.0000000,14697
20131122,190000,8817.0000000,8845.0000000,8815.0000000,8821.0000000,11810
20131125,110000,8853.7000000,8925.0000000,8840.1000000,8876.4000000,7545
20131125,120000,8872.0000000,8919.0000000,8872.0000000,8919.0000000,2418
20131125,130000,8918.8000000,8959.9000000,8900.0000000,8935.0000000,10438
20131125,140000,8935.0000000,8940.8000000,8929.0000000,8933.8000000,2534
20131125,150000,8933.5000000,8940.5000000,8930.0000000,8932.6000000,5758
20131125,160000,8932.4000000,9011.9000000,8930.6000000,9006.9000000,20277
20131125,170000,9007.0000000,9020.0000000,8983.0000000,9014.9000000,12224
20131125,180000,9014.9000000,9073.6000000,9004.2000000,9049.4000000,16528
20131125,190000,9045.7000000,9050.0000000,9005.0000000,9045.0000000,13262
20131126,110000,9049.6000000,9064.1000000,8982.1000000,9003.6000000,18014
20131126,120000,9001.3000000,9024.9000000,8993.3000000,9000.3000000,4716
20131126,130000,9000.4000000,9079.0000000,8987.8000000,9049.0000000,17434
20131126,140000,9049.0000000,9060.0000000,9003.6000000,9045.0000000,15404
20131126,150000,9049.5000000,9050.0000000,9039.7000000,9048.9000000,5476
20131126,160000,9050.0000000,9050.3000000,9030.2000000,9046.4000000,4965
20131126,170000,9046.5000000,9050.0000000,9011.7000000,9015.9000000,7016
20131126,180000,9019.2000000,9037.8000000,9013.8000000,9017.1000000,4880
20131126,190000,9017.1000000,9050.0000000,9000.1000000,9012.6000000,33996
20131127,110000,9016.0000000,9040.0000000,9001.2000000,9021.7000000,3787
20131127,120000,9016.5000000,9050.0000000,9016.0000000,9040.0000000,4427
20131127,130000,9040.0000000,9097.0000000,9032.5000000,9074.6000000,18155
20131127,140000,9075.0000000,9080.0000000,9030.3000000,9070.0000000,14679
20131127,150000,9073.8000000,9074.0000000,9030.8000000,9037.8000000,23854
20131127,160000,9038.2000000,9065.0000000,9036.7000000,9059.9000000,13388
20131127,170000,9061.1000000,9063.7000000,9052.2000000,9060.9000000,10819
20131127,180000,9060.9000000,9100.0000000,9046.0000000,9100.0000000,23645
20131127,190000,9100.0000000,9184.0000000,9093.8000000,9156.0000000,28474
20131128,110000,9170.0000000,9250.0000000,9170.0000000,9220.0000000,7702
20131128,120000,9220.4000000,9229.0000000,9194.4000000,9201.6000000,3395
20131128,130000,9204.7000000,9228.0000000,9180.0000000,9217.5000000,9243
20131128,140000,9221.2000000,9221.2000000,9160.0000000,9185.0000000,9151
20131128,150000,9186.5000000,9191.6000000,9076.2000000,9111.0000000,21564
20131128,160000,9111.0000000,9159.5000000,9099.7000000,9159.0000000,5750
20131128,170000,9158.1000000,9158.8000000,9128.3000000,9145.9000000,3632
20131128,180000,9145.7000000,9159.0000000,9122.0000000,9152.0000000,5647
20131128,190000,9149.2000000,9184.9000000,9140.9000000,9172.0000000,10215
20131129,110000,9172.0000000,9201.0000000,9048.0000000,9110.1000000,13011
20131129,120000,9102.1000000,9160.0000000,9090.6000000,9109.3000000,19828
20131129,130000,9109.7000000,9121.5000000,9101.0000000,9120.2000000,7886
20131129,140000,9117.4000000,9239.8000000,9116.0000000,9159.8000000,15654
20131129,150000,9160.9000000,9166.1000000,9100.0000000,9156.4000000,14068
20131129,160000,9156.5000000,9190.0000000,9125.0000000,9135.6000000,8118
20131129,170000,9135.8000000,9142.9000000,9114.0000000,9130.0000000,4283
20131129,180000,9133.4000000,9146.0000000,9123.7000000,9133.6000000,9315
20131129,190000,9133.7000000,9160.8000000,9122.6000000,9160.0000000,13830
20131202,110000,9144.7000000,9220.0000000,9131.7000000,9178.1000000,5885
20131202,120000,9179.5000000,9190.0000000,9171.0000000,9189.7000000,1898
20131202,130000,9189.8000000,9228.4000000,9142.3000000,9182.9000000,21381
20131202,140000,9182.9000000,9219.9000000,9179.4000000,9205.0000000,8371
20131202,150000,9205.0000000,9205.0000000,9161.2000000,9179.2000000,16918
20131202,160000,9179.3000000,9181.3000000,9148.0000000,9148.0000000,13493
20131202,170000,9148.0000000,9174.9000000,9108.0000000,9110.4000000,11358
20131202,180000,9109.8000000,9125.0000000,9105.1000000,9125.0000000,9951
20131202,190000,9125.0000000,9160.0000000,9118.0000000,9127.8000000,16246
20131203,110000,9098.0000000,9109.0000000,9005.0000000,9042.7000000,10496
20131203,120000,9041.1000000,9075.0000000,9036.0000000,9061.1000000,6116
20131203,130000,9063.6000000,9090.0000000,9035.0000000,9051.3000000,31928
20131203,140000,9045.8000000,9051.6000000,9022.0000000,9023.2000000,9511
20131203,150000,9022.9000000,9029.3000000,8820.1000000,8957.7000000,51754
20131203,160000,8958.1000000,8980.0000000,8892.0000000,8897.2000000,9619
20131203,170000,8900.0000000,8958.6000000,8897.0000000,8938.0000000,8812
20131203,180000,8938.0000000,8944.3000000,8897.6000000,8926.0000000,13735
20131203,190000,8924.1000000,8958.1000000,8911.4000000,8950.0000000,17332
20131204,110000,8994.9000000,8994.9000000,8789.0000000,8832.8000000,10202
20131204,120000,8834.2000000,8958.1000000,8834.1000000,8958.1000000,11065
20131204,130000,8955.0000000,8969.7000000,8900.0000000,8918.2000000,19469
20131204,140000,8914.9000000,8926.0000000,8900.2000000,8906.7000000,10824
20131204,150000,8905.1000000,8908.5000000,8826.2000000,8861.0000000,24891
20131204,160000,8861.0000000,8885.8000000,8825.0000000,8825.0000000,15649
20131204,170000,8825.0000000,8825.0000000,8734.9000000,8744.2000000,29039
20131204,180000,8745.0000000,8755.0000000,8686.0000000,8686.1000000,32548
20131204,190000,8686.4000000,8694.8000000,8606.5000000,8640.0000000,22154
20131205,110000,8634.9000000,8717.8000000,8634.9000000,8663.3000000,10811
